,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",8588023,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",8020169,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4940022,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4628495,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Save Your Tears","The Weeknd",3707627,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",3704570,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
7,"Leave The Door Open","Bruno Mars",3670260,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"drivers license","Olivia Rodrigo",3667539,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,Fiel,"Los Legendarios",3556305,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Kiss Me More (feat. SZA)","Doja Cat",3538440,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
11,"Heartbreak Anniversary",Giveon,3483944,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,telepatía,"Kali Uchis",3478178,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
13,"Fearless (Taylor’s Version)","Taylor Swift",3130482,https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE
14,"Levitating (feat. DaBaby)","Dua Lipa",3127674,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
15,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3090481,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
