,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7183346,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6533605,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4170797,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4058463,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Kiss Me More (feat. SZA)","Doja Cat",3739005,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"Levitating (feat. DaBaby)","Dua Lipa",3623856,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Leave The Door Open","Bruno Mars",3561205,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"deja vu","Olivia Rodrigo",3371756,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,"Save Your Tears","The Weeknd",3254707,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,Fiel,"Los Legendarios",3222357,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Heartbreak Anniversary",Giveon,3127925,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",3104791,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,telepatía,"Kali Uchis",2875842,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Blinding Lights","The Weeknd",2646115,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,DÁKITI,"Bad Bunny",2535870,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,"Hold On","Justin Bieber",2448096,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
17,Runaway,AURORA,2438666,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
18,"The Business",Tiësto,2428973,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2384264,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,Up,"Cardi B",2281010,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,"WITHOUT YOU","The Kid LAROI",1976744,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
22,"Mood (feat. iann dior)",24kGoldn,1947986,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
23,Arcade,"Duncan Laurence",1940446,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
24,Streets,"Doja Cat",1880081,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
25,Bandido,"Myke Towers",1862950,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
26,"Calling My Phone","Lil Tjay",1827507,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
27,"Heat Waves","Glass Animals",1815115,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"Your Love (9PM)",ATB,1780460,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
29,Am,"Nio Garcia",1763560,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
30,"Watermelon Sugar","Harry Styles",1752162,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,911,Sech,1747804,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
32,Dynamite,BTS,1709935,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1676891,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
34,"Someone You Loved","Lewis Capaldi",1656666,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
