,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7630543,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7036818,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Astronaut In The Ocean","Masked Wolf",4320564,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Botella Tras Botella","Gera MX",4319967,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
5,"Kiss Me More (feat. SZA)","Doja Cat",4302784,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,RAPSTAR,"Polo G",4165161,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
7,"Levitating (feat. DaBaby)","Dua Lipa",4104596,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",4039702,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
9,"Leave The Door Open","Bruno Mars",3916811,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,Fiel,"Los Legendarios",3666126,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"deja vu","Olivia Rodrigo",3235034,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Heartbreak Anniversary",Giveon,3190060,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3184767,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,"drivers license","Olivia Rodrigo",3069091,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Blinding Lights","The Weeknd",3037349,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,telepatía,"Kali Uchis",2925755,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
17,DÁKITI,"Bad Bunny",2890059,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
18,"Save Your Tears","The Weeknd",2874729,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
19,"The Business",Tiësto,2823718,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
20,Runaway,AURORA,2587645,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
21,"Hold On","Justin Bieber",2507423,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
22,Up,"Cardi B",2435561,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
23,Am,"Nio Garcia",2303427,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
24,"WITHOUT YOU","The Kid LAROI",2152797,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,"Mood (feat. iann dior)",24kGoldn,2151499,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
26,Bandido,"Myke Towers",2108331,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
27,"Your Love (9PM)",ATB,2090904,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
28,"Pareja Del Año","Sebastian Yatra",2043654,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
29,Arcade,"Duncan Laurence",1983528,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
30,"Heat Waves","Glass Animals",1970615,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
31,911,Sech,1962789,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
32,"Watermelon Sugar","Harry Styles",1940075,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,Streets,"Doja Cat",1922402,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
34,"Goosebumps - Remix","Travis Scott",1874234,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
35,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1832436,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
36,"LA NOCHE DE ANOCHE","Bad Bunny",1817919,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
37,"Calling My Phone","Lil Tjay",1805551,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
38,Dynamite,BTS,1781102,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
39,"EL MAKINON","KAROL G",1752197,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
40,"Don't Start Now","Dua Lipa",1703802,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"Head & Heart (feat. MNEK)","Joel Corry",1675530,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
42,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1663090,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
43,"Someone You Loved","Lewis Capaldi",1650561,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
44,BED,"Joel Corry",1632108,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
45,"Best Friend (feat. Doja Cat)",Saweetie,1617637,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
46,"We're Good","Dua Lipa",1604693,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
47,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1599850,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
48,"Paradise (feat. Dermot Kennedy)",MEDUZA,1523546,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
49,"Ella No Es Tuya - Remix","Rochy RD",1496735,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
50,"Good Days",SZA,1488854,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
51,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1486490,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
52,positions,"Ariana Grande",1486090,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
53,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1474647,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
54,Anyone,"Justin Bieber",1444523,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
55,"Hecha Pa' Mi",Boza,1416593,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
56,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1403872,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
57,"Dance Monkey","Tones And I",1402012,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
58,"Solid (feat. Drake)","Young Stoner Life",1379828,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
