,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",5752475,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5267446,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4752182,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Levitating (feat. DaBaby)","Dua Lipa",3839189,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
5,"Astronaut In The Ocean","Masked Wolf",3357653,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Leave The Door Open","Bruno Mars",3331311,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,Fiel,"Los Legendarios",3168839,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
8,RAPSTAR,"Polo G",3025945,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Your Power","Billie Eilish",2993527,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
10,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2820325,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
11,"Pareja Del Año","Sebastian Yatra",2818913,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
12,"deja vu","Olivia Rodrigo",2767643,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
13,Am,"Nio Garcia",2585990,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
14,"drivers license","Olivia Rodrigo",2505388,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Blinding Lights","The Weeknd",2421011,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2397599,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
17,"Botella Tras Botella","Gera MX",2371659,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
18,"Heartbreak Anniversary",Giveon,2334637,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
19,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",2302041,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
20,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",2301345,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
21,telepatía,"Kali Uchis",2237346,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
22,DÁKITI,"Bad Bunny",2202171,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
23,"i n t e r l u d e","J. Cole",2142443,https://open.spotify.com/track/2gyYjQWXKxemhAyMPgctIx
24,"The Business",Tiësto,2142161,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
25,Runaway,AURORA,2055876,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
26,"Hold On","Justin Bieber",1852193,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
27,"Save Your Tears","The Weeknd",1842390,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
28,"Mood (feat. iann dior)",24kGoldn,1754193,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
29,Up,"Cardi B",1748985,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
