,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6842410,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6201357,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",5481801,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Levitating (feat. DaBaby)","Dua Lipa",4440586,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
5,"i n t e r l u d e","J. Cole",4097821,https://open.spotify.com/track/2gyYjQWXKxemhAyMPgctIx
6,"Your Power","Billie Eilish",4024542,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
7,"Astronaut In The Ocean","Masked Wolf",3978625,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
8,"Leave The Door Open","Bruno Mars",3908897,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,RAPSTAR,"Polo G",3709256,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
10,Fiel,"Los Legendarios",3676099,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3613530,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
12,"Pareja Del Año","Sebastian Yatra",3424701,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3300080,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",3210837,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
15,"deja vu","Olivia Rodrigo",3194078,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
16,Am,"Nio Garcia",2987434,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
17,"drivers license","Olivia Rodrigo",2901905,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
18,"Blinding Lights","The Weeknd",2804373,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Heartbreak Anniversary",Giveon,2693857,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
20,telepatía,"Kali Uchis",2653999,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
21,"The Business",Tiësto,2624901,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,"Botella Tras Botella","Gera MX",2599441,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
23,DÁKITI,"Bad Bunny",2583964,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
24,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",2479901,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
25,Runaway,AURORA,2368304,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
26,"Higher Power",Coldplay,2297851,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
27,"Hold On","Justin Bieber",2255046,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
28,"Save Your Tears","The Weeknd",2142365,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
29,Up,"Cardi B",2136168,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
30,"Mood (feat. iann dior)",24kGoldn,1994237,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
31,"Your Love (9PM)",ATB,1976216,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,"Heat Waves","Glass Animals",1961444,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
33,Bandido,"Myke Towers",1936815,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
34,"EL MAKINON","KAROL G",1907954,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
35,Arcade,"Duncan Laurence",1902131,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
36,Streets,"Doja Cat",1885218,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
37,"Watermelon Sugar","Harry Styles",1873197,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,"Goosebumps - Remix","Travis Scott",1864543,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
39,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1835879,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
40,911,Sech,1808995,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
41,BED,"Joel Corry",1756122,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
42,"Don't Start Now","Dua Lipa",1725907,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
43,Dynamite,BTS,1714368,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
44,"Someone You Loved","Lewis Capaldi",1687988,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
45,"LA NOCHE DE ANOCHE","Bad Bunny",1686812,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
46,"Calling My Phone","Lil Tjay",1658141,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
47,"Head & Heart (feat. MNEK)","Joel Corry",1619366,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
