,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7540770,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",6980543,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
3,"Astronaut In The Ocean","Masked Wolf",4426518,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3905019,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",3753723,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,telepatía,"Kali Uchis",3732084,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
7,"Leave The Door Open","Bruno Mars",3401003,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Heartbreak Anniversary",Giveon,3218304,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,"Hold On","Justin Bieber",3215727,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
10,"Blinding Lights","The Weeknd",3129819,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,DÁKITI,"Bad Bunny",2932694,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
12,"The Business",Tiësto,2920678,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,"Levitating (feat. DaBaby)","Dua Lipa",2876593,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,Fiel,"Los Legendarios",2772876,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
15,Up,"Cardi B",2771190,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
16,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2584310,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
17,Bandido,"Myke Towers",2368760,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
18,"WITHOUT YOU","The Kid LAROI",2338945,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
19,"Calling My Phone","Lil Tjay",2327833,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
