,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7996867,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7078626,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4453602,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4193696,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"deja vu","Olivia Rodrigo",3625373,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
6,"Kiss Me More (feat. SZA)","Doja Cat",3539822,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"Leave The Door Open","Bruno Mars",3533904,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"drivers license","Olivia Rodrigo",3402855,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,"Save Your Tears","The Weeknd",3384003,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,Fiel,"Los Legendarios",3336301,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Heartbreak Anniversary",Giveon,3238621,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"Levitating (feat. DaBaby)","Dua Lipa",3199575,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,telepatía,"Kali Uchis",3166853,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Blinding Lights","The Weeknd",2709503,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Hold On","Justin Bieber",2569645,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
16,DÁKITI,"Bad Bunny",2555554,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"The Business",Tiësto,2525448,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,Up,"Cardi B",2487820,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2337820,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,"Calling My Phone","Lil Tjay",2151607,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
21,Runaway,AURORA,2052647,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
22,"WITHOUT YOU","The Kid LAROI",2034577,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
23,"Mood (feat. iann dior)",24kGoldn,1987391,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
24,Arcade,"Duncan Laurence",1984055,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
25,Streets,"Doja Cat",1964941,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
26,Bandido,"Myke Towers",1943494,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
27,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",1840000,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
28,"Heat Waves","Glass Animals",1809672,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,"Watermelon Sugar","Harry Styles",1796094,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,"Your Love (9PM)",ATB,1787956,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
31,Dynamite,BTS,1762852,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
32,911,Sech,1738364,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
33,"LA NOCHE DE ANOCHE","Bad Bunny",1709361,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
34,"Goosebumps - Remix","Travis Scott",1698266,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
35,"Someone You Loved","Lewis Capaldi",1689976,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
