,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7313467,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",7168582,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
3,"Astronaut In The Ocean","Masked Wolf",4142337,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3582972,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,telepatía,"Kali Uchis",3476308,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,"Save Your Tears","The Weeknd",3447979,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
7,"Leave The Door Open","Bruno Mars",3387753,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Heartbreak Anniversary",Giveon,3191562,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,"deja vu","Olivia Rodrigo",3032103,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
10,Fiel,"Los Legendarios",2978535,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Hold On","Justin Bieber",2901460,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
12,"Levitating (feat. DaBaby)","Dua Lipa",2863707,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Blinding Lights","The Weeknd",2775264,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,DÁKITI,"Bad Bunny",2581767,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
15,Up,"Cardi B",2572070,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
16,"The Business",Tiësto,2485050,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
17,"Calling My Phone","Lil Tjay",2234871,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2218686,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"Mood (feat. iann dior)",24kGoldn,2098979,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
20,"WITHOUT YOU","The Kid LAROI",2081692,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
21,Streets,"Doja Cat",2078111,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
22,Bandido,"Myke Towers",2069847,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
23,Arcade,"Duncan Laurence",1880662,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
24,Dynamite,BTS,1836757,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
25,"Film out",BTS,1796943,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
26,"Watermelon Sugar","Harry Styles",1767965,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"Heat Waves","Glass Animals",1765969,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"LA NOCHE DE ANOCHE","Bad Bunny",1762643,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
29,Anyone,"Justin Bieber",1729624,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
30,"Your Love (9PM)",ATB,1678937,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
31,"Ella No Es Tuya - Remix","Rochy RD",1671695,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
32,"Someone You Loved","Lewis Capaldi",1661565,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,"Goosebumps - Remix","Travis Scott",1655083,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
34,"Good Days",SZA,1647432,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
35,"We're Good","Dua Lipa",1635826,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
36,positions,"Ariana Grande",1634182,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
37,911,Sech,1627175,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
38,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1587797,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
39,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1582095,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
40,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1564062,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
41,"As I Am (feat. Khalid)","Justin Bieber",1557293,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
42,"Don't Start Now","Dua Lipa",1537632,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
43,"Holy (feat. Chance The Rapper)","Justin Bieber",1523271,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
44,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1494262,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
45,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1470904,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
46,"What’s Next",Drake,1467251,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
47,"Best Friend (feat. Doja Cat)",Saweetie,1435417,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
48,"Hecha Pa' Mi",Boza,1401258,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
49,"On The Ground",ROSÉ,1397864,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
50,Whoopty,CJ,1397251,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
51,"you broke me first","Tate McRae",1372446,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
52,"Paradise (feat. Dermot Kennedy)",MEDUZA,1363198,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
53,34+35,"Ariana Grande",1335144,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
54,"GIRL LIKE ME","Black Eyed Peas",1313894,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
55,"Head & Heart (feat. MNEK)","Joel Corry",1306136,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
56,"Sweater Weather","The Neighbourhood",1299668,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
57,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1298965,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
58,"What You Know Bout Love","Pop Smoke",1279436,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
59,"My Head & My Heart","Ava Max",1217776,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
60,"Dance Monkey","Tones And I",1215869,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
61,"Lonely (with benny blanco)","Justin Bieber",1211970,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
62,"WAP (feat. Megan Thee Stallion)","Cardi B",1192716,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
63,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1167155,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
64,HOLIDAY,"Lil Nas X",1164662,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
65,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",1161336,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
66,"Before You Go","Lewis Capaldi",1161198,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
67,"Roses - Imanbek Remix","SAINt JHN",1145593,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
68,SugarCrash!,ElyOtto,1140313,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
69,"Therefore I Am","Billie Eilish",1134162,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
70,Heather,"Conan Gray",1133019,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
71,BICHOTA,"KAROL G",1120085,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
72,"At My Worst","Pink Sweat$",1107390,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
73,"lovely (with Khalid)","Billie Eilish",1102196,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
74,Reloj,"Rauw Alejandro",1080436,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
75,"Talking to the Moon","Bruno Mars",1077196,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
76,Circles,"Post Malone",1058721,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
77,"Wants and Needs (feat. Lil Baby)",Drake,1056793,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
78,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1055286,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
79,Hawái,Maluma,1035811,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
80,Runaway,AURORA,1035715,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
81,"Adore You","Harry Styles",1030360,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
82,BED,"Joel Corry",1019315,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
83,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1015527,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
84,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1002947,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
85,"death bed (coffee for your head)",Powfu,998480,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
86,"Cloud 9","Beach Bunny",987706,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
87,"EL MAKINON","KAROL G",986245,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
88,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",975401,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
89,"Travesuras - Remix","Nio Garcia",969307,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
90,Shallow,"Lady Gaga",965987,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
91,Señorita,"Shawn Mendes",964658,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
92,Believer,"Imagine Dragons",960322,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
93,Memories,"Maroon 5",954562,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
94,goosebumps,"Travis Scott",953119,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
95,"Lucid Dreams","Juice WRLD",947362,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
96,"Machu Picchu",Camilo,936135,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
97,"Life Goes On",BTS,929090,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
98,Golden,"Harry Styles",926869,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
99,"Follow You","Imagine Dragons",923703,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
100,"La Nota","Manuel Turizo",920363,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
