,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7777515,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7180892,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4687297,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4187823,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Kiss Me More (feat. SZA)","Doja Cat",3443118,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"Leave The Door Open","Bruno Mars",3441106,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,"Save Your Tears","The Weeknd",3386250,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
8,"drivers license","Olivia Rodrigo",3347358,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,"Heartbreak Anniversary",Giveon,3302815,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
10,Fiel,"Los Legendarios",3188859,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,telepatía,"Kali Uchis",3175973,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,"deja vu","Olivia Rodrigo",3023742,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
13,"Levitating (feat. DaBaby)","Dua Lipa",2963786,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Blinding Lights","The Weeknd",2661203,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Hold On","Justin Bieber",2557799,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
16,"The Business",Tiësto,2477339,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
17,Up,"Cardi B",2476549,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
18,DÁKITI,"Bad Bunny",2453782,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2326031,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,"Calling My Phone","Lil Tjay",2217408,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
21,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",2201662,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
22,"WITHOUT YOU","The Kid LAROI",2034839,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
23,Streets,"Doja Cat",1991509,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
24,"Mood (feat. iann dior)",24kGoldn,1967528,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
25,Arcade,"Duncan Laurence",1953042,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
26,Bandido,"Myke Towers",1891370,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
27,"Heat Waves","Glass Animals",1774850,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,Runaway,AURORA,1756449,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
29,"Watermelon Sugar","Harry Styles",1746933,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,Dynamite,BTS,1742314,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
31,"Your Love (9PM)",ATB,1714330,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,911,Sech,1661850,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
33,"Goosebumps - Remix","Travis Scott",1655369,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
34,"LA NOCHE DE ANOCHE","Bad Bunny",1645042,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
35,"Someone You Loved","Lewis Capaldi",1605992,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
36,"Love Story (Taylor’s Version)","Taylor Swift",1579980,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
37,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1567813,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
38,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1559047,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
39,"Ella No Es Tuya - Remix","Rochy RD",1531876,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
40,"Good Days",SZA,1527408,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
41,Anyone,"Justin Bieber",1504592,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
42,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1498720,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
43,"Don't Start Now","Dua Lipa",1477734,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
44,"We're Good","Dua Lipa",1467936,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
45,positions,"Ariana Grande",1453822,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
46,"Best Friend (feat. Doja Cat)",Saweetie,1430369,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
47,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1375081,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
48,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1368127,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
49,"Head & Heart (feat. MNEK)","Joel Corry",1354193,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
50,"Shy Away","Twenty One Pilots",1344818,https://open.spotify.com/track/2z0IupRlVRlDN5r2IVqHyN
51,"Paradise (feat. Dermot Kennedy)",MEDUZA,1338744,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
52,"Hecha Pa' Mi",Boza,1326692,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
53,"What’s Next",Drake,1322854,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
54,"you broke me first","Tate McRae",1303945,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
55,"Sweater Weather","The Neighbourhood",1303814,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
56,"Holy (feat. Chance The Rapper)","Justin Bieber",1276639,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
57,Whoopty,CJ,1268436,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
58,34+35,"Ariana Grande",1253298,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
59,"GIRL LIKE ME","Black Eyed Peas",1250302,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
60,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1246194,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
61,"You Belong With Me (Taylor’s Version)","Taylor Swift",1230487,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA
62,"My Head & My Heart","Ava Max",1229443,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
63,"As I Am (feat. Khalid)","Justin Bieber",1221265,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
64,"Fearless (Taylor’s Version)","Taylor Swift",1200962,https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE
65,"Otra Noche Sin Ti","J Balvin",1187700,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
66,"Dance Monkey","Tones And I",1185164,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
67,"On The Ground",ROSÉ,1173506,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
68,"Talking to the Moon","Bruno Mars",1161689,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
69,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",1161101,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
70,"Roses - Imanbek Remix","SAINt JHN",1151826,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
71,BED,"Joel Corry",1150390,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
72,SugarCrash!,ElyOtto,1142214,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
73,"WAP (feat. Megan Thee Stallion)","Cardi B",1135094,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
74,"Before You Go","Lewis Capaldi",1132159,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
75,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1129529,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
76,"What You Know Bout Love","Pop Smoke",1128930,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
77,"Film out",BTS,1123735,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
78,"lovely (with Khalid)","Billie Eilish",1113544,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
79,"Lonely (with benny blanco)","Justin Bieber",1104997,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
80,"EL MAKINON","KAROL G",1097659,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
81,Am,"Nio Garcia",1092919,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
82,"Therefore I Am","Billie Eilish",1083327,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
83,Heather,"Conan Gray",1080043,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
84,"You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)","Taylor Swift",1047645,https://open.spotify.com/track/4CHpVfAhuxNJ3ibExe6kxO
85,Circles,"Post Malone",1045753,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
86,"Wants and Needs (feat. Lil Baby)",Drake,1043428,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
87,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1035651,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
88,"X Gon' Give It To Ya",DMX,1035407,https://open.spotify.com/track/1zzxoZVylsna2BQB65Ppcb
89,Reloj,"Rauw Alejandro",1022946,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
90,HOLIDAY,"Lil Nas X",1016128,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
91,BICHOTA,"KAROL G",1009059,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
92,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1003448,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
93,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1001649,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
94,"The Way I Loved You (Taylor’s Version)","Taylor Swift",997993,https://open.spotify.com/track/22bPsP2jCgbLUvh82U0Z3M
