,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7040623,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6156984,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4494740,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Astronaut In The Ocean","Masked Wolf",3933354,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Levitating (feat. DaBaby)","Dua Lipa",3832671,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,RAPSTAR,"Polo G",3819639,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
7,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3805991,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
8,"Leave The Door Open","Bruno Mars",3694453,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,Fiel,"Los Legendarios",3285259,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"deja vu","Olivia Rodrigo",3263989,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
11,"Botella Tras Botella","Gera MX",3073095,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
12,"Heartbreak Anniversary",Giveon,3070782,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,"drivers license","Olivia Rodrigo",2981913,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,telepatía,"Kali Uchis",2765398,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Blinding Lights","The Weeknd",2688500,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,Runaway,AURORA,2550410,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2527168,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Pareja Del Año","Sebastian Yatra",2496008,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
19,"Save Your Tears","The Weeknd",2482584,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
20,DÁKITI,"Bad Bunny",2450426,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
