,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",8061168,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7136440,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4542167,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4183909,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Leave The Door Open","Bruno Mars",3500924,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"Kiss Me More (feat. SZA)","Doja Cat",3464787,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"Save Your Tears","The Weeknd",3396608,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
8,"drivers license","Olivia Rodrigo",3369592,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,"deja vu","Olivia Rodrigo",3363147,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
10,Fiel,"Los Legendarios",3281803,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Heartbreak Anniversary",Giveon,3244004,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,telepatía,"Kali Uchis",3185132,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
13,"Levitating (feat. DaBaby)","Dua Lipa",3062276,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Blinding Lights","The Weeknd",2690116,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Hold On","Justin Bieber",2565507,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
16,DÁKITI,"Bad Bunny",2514456,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"The Business",Tiësto,2505846,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,Up,"Cardi B",2494244,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2325749,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,"Calling My Phone","Lil Tjay",2153460,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
21,"WITHOUT YOU","The Kid LAROI",2020104,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
22,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",1998541,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
23,Streets,"Doja Cat",1968119,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
24,"Mood (feat. iann dior)",24kGoldn,1966034,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
25,Arcade,"Duncan Laurence",1958671,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
