,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",8182723,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7843885,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4771006,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4471290,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Save Your Tears","The Weeknd",3679447,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Leave The Door Open","Bruno Mars",3615273,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,Fiel,"Los Legendarios",3609907,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
8,"drivers license","Olivia Rodrigo",3498637,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,"Kiss Me More (feat. SZA)","Doja Cat",3437473,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
10,"Heartbreak Anniversary",Giveon,3378130,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
11,telepatía,"Kali Uchis",3365507,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,"Levitating (feat. DaBaby)","Dua Lipa",3092395,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Blinding Lights","The Weeknd",3017121,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"The Business",Tiësto,2827178,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
15,DÁKITI,"Bad Bunny",2808779,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2803219,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
17,"Hold On","Justin Bieber",2744945,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,"deja vu","Olivia Rodrigo",2727525,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
19,Up,"Cardi B",2722981,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
20,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",2593792,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
21,"Calling My Phone","Lil Tjay",2411017,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
22,"X Gon' Give It To Ya",DMX,2284731,https://open.spotify.com/track/1zzxoZVylsna2BQB65Ppcb
23,Bandido,"Myke Towers",2243396,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
24,"WITHOUT YOU","The Kid LAROI",2190544,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,"Mood (feat. iann dior)",24kGoldn,2189204,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
26,"Love Story (Taylor’s Version)","Taylor Swift",2109295,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
27,Streets,"Doja Cat",2102459,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
28,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1957012,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
29,Arcade,"Duncan Laurence",1945043,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
30,"Watermelon Sugar","Harry Styles",1932742,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,"Your Love (9PM)",ATB,1929007,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,911,Sech,1894253,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
33,"Heat Waves","Glass Animals",1867217,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
34,"LA NOCHE DE ANOCHE","Bad Bunny",1862383,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
