,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7627275,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",7173355,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
3,"Astronaut In The Ocean","Masked Wolf",4431427,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3691967,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",3672541,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,telepatía,"Kali Uchis",3545328,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
7,"Leave The Door Open","Bruno Mars",3465392,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Heartbreak Anniversary",Giveon,3193146,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,"Hold On","Justin Bieber",3070129,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
10,"Blinding Lights","The Weeknd",3057419,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"deja vu","Olivia Rodrigo",2974681,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Levitating (feat. DaBaby)","Dua Lipa",2965788,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,Fiel,"Los Legendarios",2947068,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
14,"The Business",Tiësto,2877148,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
15,DÁKITI,"Bad Bunny",2874637,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,Up,"Cardi B",2810320,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2720805,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Calling My Phone","Lil Tjay",2443196,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
19,"Mood (feat. iann dior)",24kGoldn,2269231,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
20,"WITHOUT YOU","The Kid LAROI",2247758,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
21,Bandido,"Myke Towers",2246987,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
