,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",8085206,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7502447,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4793570,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4568119,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Kiss Me More (feat. SZA)","Doja Cat",3796442,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"Leave The Door Open","Bruno Mars",3790521,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,"deja vu","Olivia Rodrigo",3787712,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
8,"Levitating (feat. DaBaby)","Dua Lipa",3749182,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,Fiel,"Los Legendarios",3633254,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Save Your Tears","The Weeknd",3588318,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"Heartbreak Anniversary",Giveon,3453580,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",3452747,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3200121,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,telepatía,"Kali Uchis",3199120,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Blinding Lights","The Weeknd",2952095,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,DÁKITI,"Bad Bunny",2926152,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"Solid (feat. Drake)","Young Stoner Life",2905183,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
18,"The Business",Tiësto,2828820,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Hold On","Justin Bieber",2748150,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
20,Up,"Cardi B",2580002,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,Runaway,AURORA,2354905,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
22,"WITHOUT YOU","The Kid LAROI",2156730,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
23,"Mood (feat. iann dior)",24kGoldn,2148303,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
24,Bandido,"Myke Towers",2147995,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
25,"Calling My Phone","Lil Tjay",2124663,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
26,911,Sech,2120469,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
27,Arcade,"Duncan Laurence",2072719,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
28,Streets,"Doja Cat",2038005,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
29,"Your Love (9PM)",ATB,2007310,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
30,"LA NOCHE DE ANOCHE","Bad Bunny",1934235,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
31,"Heat Waves","Glass Animals",1927665,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
32,"Diamonds Dancing (feat. Travis Scott)","Young Stoner Life",1912625,https://open.spotify.com/track/7uZqvqXzzYMKrexKxdcGmd
33,"Watermelon Sugar","Harry Styles",1910988,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,"Goosebumps - Remix","Travis Scott",1813259,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
35,Dynamite,BTS,1793190,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
36,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1754470,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
37,"Don't Start Now","Dua Lipa",1731145,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
38,"Someone You Loved","Lewis Capaldi",1727607,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
39,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1721259,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
40,Ski,"Young Stoner Life",1666610,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
41,"Ella No Es Tuya - Remix","Rochy RD",1654422,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
42,"Head & Heart (feat. MNEK)","Joel Corry",1645641,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
43,Anyone,"Justin Bieber",1638275,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
44,"We're Good","Dua Lipa",1614153,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
45,Am,"Nio Garcia",1610261,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
46,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",1582818,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
47,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1580034,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
48,"Best Friend (feat. Doja Cat)",Saweetie,1567944,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
49,"Paradise (feat. Dermot Kennedy)",MEDUZA,1567392,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
50,"Good Days",SZA,1559425,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
51,positions,"Ariana Grande",1539509,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
52,"Hecha Pa' Mi",Boza,1537390,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
53,"EL MAKINON","KAROL G",1534705,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
54,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1531377,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
55,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1438279,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
56,BED,"Joel Corry",1430837,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
57,"Proud of You (feat. Lil Uzi Vert & Yung Kayo)","Young Stoner Life",1430320,https://open.spotify.com/track/16eZmQoeajKH8G2nPe2chk
58,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1389484,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
59,"My Head & My Heart","Ava Max",1373718,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
