,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7101202,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6445643,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4931520,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Your Power","Billie Eilish",4642820,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
5,"Levitating (feat. DaBaby)","Dua Lipa",4323962,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Astronaut In The Ocean","Masked Wolf",4097467,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Leave The Door Open","Bruno Mars",3836941,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,RAPSTAR,"Polo G",3834153,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,Fiel,"Los Legendarios",3745094,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3655292,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
11,"deja vu","Olivia Rodrigo",3063627,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3040298,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
13,"Botella Tras Botella","Gera MX",2988823,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
14,"Pareja Del Año","Sebastian Yatra",2981340,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
15,"Blinding Lights","The Weeknd",2873111,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"drivers license","Olivia Rodrigo",2872890,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
17,"Heartbreak Anniversary",Giveon,2841434,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
18,Am,"Nio Garcia",2810654,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
19,DÁKITI,"Bad Bunny",2736153,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
20,telepatía,"Kali Uchis",2672726,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
21,"The Business",Tiësto,2625560,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,Runaway,AURORA,2385828,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
23,"Save Your Tears","The Weeknd",2255779,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
24,"Hold On","Justin Bieber",2253007,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
25,Up,"Cardi B",2229484,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
26,"Mood (feat. iann dior)",24kGoldn,2082759,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
