,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6197914,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5613497,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4445964,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Your Power","Billie Eilish",4281142,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
5,"Levitating (feat. DaBaby)","Dua Lipa",3781681,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Astronaut In The Ocean","Masked Wolf",3547763,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Leave The Door Open","Bruno Mars",3394000,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,RAPSTAR,"Polo G",3391223,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,Fiel,"Los Legendarios",3229767,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3097541,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
11,"deja vu","Olivia Rodrigo",2816053,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Pareja Del Año","Sebastian Yatra",2657750,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"Botella Tras Botella","Gera MX",2653161,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
14,"drivers license","Olivia Rodrigo",2632856,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Heartbreak Anniversary",Giveon,2587229,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
16,"Blinding Lights","The Weeknd",2468878,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,Am,"Nio Garcia",2466125,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
18,telepatía,"Kali Uchis",2387599,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
19,DÁKITI,"Bad Bunny",2384900,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
20,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2380264,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
21,Runaway,AURORA,2237922,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
22,"The Business",Tiësto,2177434,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
23,"Hold On","Justin Bieber",2033545,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
24,"Save Your Tears","The Weeknd",1967644,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,Up,"Cardi B",1942928,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
26,"Mood (feat. iann dior)",24kGoldn,1853945,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
27,Arcade,"Duncan Laurence",1759203,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
28,Bandido,"Myke Towers",1743940,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
29,"Heat Waves","Glass Animals",1740960,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
30,Streets,"Doja Cat",1703459,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
31,911,Sech,1682992,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
