,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7431064,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6537850,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Your Power","Billie Eilish",6239924,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
4,"Kiss Me More (feat. SZA)","Doja Cat",5175483,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,"Levitating (feat. DaBaby)","Dua Lipa",4371133,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Astronaut In The Ocean","Masked Wolf",4216211,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3986580,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
8,RAPSTAR,"Polo G",3982893,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Leave The Door Open","Bruno Mars",3931158,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,Fiel,"Los Legendarios",3739401,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3376346,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
12,"deja vu","Olivia Rodrigo",3267379,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
13,"Pareja Del Año","Sebastian Yatra",3067747,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
14,"drivers license","Olivia Rodrigo",3025404,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Heartbreak Anniversary",Giveon,3001724,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
16,"Botella Tras Botella","Gera MX",2987935,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
17,"Blinding Lights","The Weeknd",2913977,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,Am,"Nio Garcia",2788728,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
19,telepatía,"Kali Uchis",2769257,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
20,DÁKITI,"Bad Bunny",2716577,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,"The Business",Tiësto,2695102,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,Runaway,AURORA,2552233,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
23,"Save Your Tears","The Weeknd",2415656,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
24,"Hold On","Justin Bieber",2368177,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
25,Up,"Cardi B",2270961,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
26,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",2152112,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
27,"Mood (feat. iann dior)",24kGoldn,2080977,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
28,"Your Love (9PM)",ATB,2012670,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
29,Bandido,"Myke Towers",2010630,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
30,Arcade,"Duncan Laurence",1995033,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
31,911,Sech,1972416,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
32,"Heat Waves","Glass Animals",1967146,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
33,Streets,"Doja Cat",1946671,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
34,"Goosebumps - Remix","Travis Scott",1934278,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
35,"Watermelon Sugar","Harry Styles",1904336,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","DJ Khaled",1873164,https://open.spotify.com/track/20GrahbI4AzAOWxpYfDKkf
37,"EL MAKINON","KAROL G",1872678,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
38,"durag activity (with Travis Scott)","Baby Keem",1827979,https://open.spotify.com/track/4JJcP0Rv9AgyPD6ZGaC8EE
39,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1826572,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
40,Dynamite,BTS,1818604,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
41,"WITHOUT YOU","The Kid LAROI",1793433,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
42,"Calling My Phone","Lil Tjay",1767036,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
43,"LA NOCHE DE ANOCHE","Bad Bunny",1729660,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
44,"Don't Start Now","Dua Lipa",1716108,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
45,"Someone You Loved","Lewis Capaldi",1688810,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
46,BED,"Joel Corry",1679273,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
47,"Head & Heart (feat. MNEK)","Joel Corry",1625585,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
48,"We're Good","Dua Lipa",1573967,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
49,"Best Friend (feat. Doja Cat)",Saweetie,1541930,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
50,"Talking to the Moon","Bruno Mars",1526834,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
51,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1505853,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
52,positions,"Ariana Grande",1500190,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
53,"Paradise (feat. Dermot Kennedy)",MEDUZA,1483119,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
