,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7315661,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6721212,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4330244,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4115436,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Kiss Me More (feat. SZA)","Doja Cat",3767386,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"Levitating (feat. DaBaby)","Dua Lipa",3591591,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Leave The Door Open","Bruno Mars",3583393,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"deja vu","Olivia Rodrigo",3457871,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,"Save Your Tears","The Weeknd",3285933,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,Fiel,"Los Legendarios",3251875,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Heartbreak Anniversary",Giveon,3160698,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",3132326,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,telepatía,"Kali Uchis",2909016,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Blinding Lights","The Weeknd",2654694,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,DÁKITI,"Bad Bunny",2571125,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,"Hold On","Justin Bieber",2500688,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
17,"The Business",Tiësto,2451898,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,Runaway,AURORA,2445136,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2410029,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,Up,"Cardi B",2308497,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,"WITHOUT YOU","The Kid LAROI",1963761,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
22,Arcade,"Duncan Laurence",1953268,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
23,"Mood (feat. iann dior)",24kGoldn,1936222,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
24,Streets,"Doja Cat",1893412,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
25,Bandido,"Myke Towers",1884163,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
26,"Calling My Phone","Lil Tjay",1841896,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
