,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6651404,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6164770,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",5327377,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Levitating (feat. DaBaby)","Dua Lipa",4432922,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
5,"Astronaut In The Ocean","Masked Wolf",3866948,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Leave The Door Open","Bruno Mars",3855335,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,Fiel,"Los Legendarios",3804749,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
8,RAPSTAR,"Polo G",3538628,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Your Power","Billie Eilish",3521966,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
10,"Pareja Del Año","Sebastian Yatra",3424429,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3371463,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
12,Am,"Nio Garcia",3106812,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
13,"deja vu","Olivia Rodrigo",3046841,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
14,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3018091,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
15,"Blinding Lights","The Weeknd",2820261,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"drivers license","Olivia Rodrigo",2772940,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
17,"Botella Tras Botella","Gera MX",2694730,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
18,DÁKITI,"Bad Bunny",2674309,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
19,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",2608871,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
20,telepatía,"Kali Uchis",2594450,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
21,"The Business",Tiësto,2593777,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
