,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6466983,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5780378,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",5099032,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Your Power","Billie Eilish",4317787,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
5,"Levitating (feat. DaBaby)","Dua Lipa",4056307,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Astronaut In The Ocean","Masked Wolf",3780833,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Leave The Door Open","Bruno Mars",3637058,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,RAPSTAR,"Polo G",3549030,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3339557,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
10,Fiel,"Los Legendarios",3301409,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"deja vu","Olivia Rodrigo",3172041,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Pareja Del Año","Sebastian Yatra",3050488,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"drivers license","Olivia Rodrigo",2854918,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Heartbreak Anniversary",Giveon,2698773,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
15,Am,"Nio Garcia",2602809,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
16,telepatía,"Kali Uchis",2547315,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
17,"Blinding Lights","The Weeknd",2523593,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"Botella Tras Botella","Gera MX",2480864,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2458417,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
