,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6426947,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5736638,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4806239,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Your Power","Billie Eilish",4789081,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
5,"Levitating (feat. DaBaby)","Dua Lipa",3918859,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Astronaut In The Ocean","Masked Wolf",3713151,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Leave The Door Open","Bruno Mars",3540796,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,RAPSTAR,"Polo G",3480337,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3278387,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
10,Fiel,"Los Legendarios",3276692,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"deja vu","Olivia Rodrigo",3088243,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Pareja Del Año","Sebastian Yatra",2946387,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"drivers license","Olivia Rodrigo",2801429,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Heartbreak Anniversary",Giveon,2711973,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
15,"Botella Tras Botella","Gera MX",2563763,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
16,Am,"Nio Garcia",2543985,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
17,telepatía,"Kali Uchis",2505986,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
18,"Blinding Lights","The Weeknd",2494108,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,Runaway,AURORA,2401488,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
20,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2384842,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
21,DÁKITI,"Bad Bunny",2327865,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
22,"The Business",Tiësto,2267179,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
23,"Hold On","Justin Bieber",2181580,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
24,"Save Your Tears","The Weeknd",2026680,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,Up,"Cardi B",1949105,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
26,Arcade,"Duncan Laurence",1859859,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
27,"Mood (feat. iann dior)",24kGoldn,1848421,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
28,"Heat Waves","Glass Animals",1769651,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,Streets,"Doja Cat",1760431,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
30,Bandido,"Myke Towers",1733728,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
31,"Goosebumps - Remix","Travis Scott",1700153,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
32,"Your Love (9PM)",ATB,1697723,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
33,911,Sech,1692795,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
34,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",1681933,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
