,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7638571,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",7210723,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
3,"Astronaut In The Ocean","Masked Wolf",4464656,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3813723,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",3685061,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,telepatía,"Kali Uchis",3571998,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
7,"Leave The Door Open","Bruno Mars",3353005,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"deja vu","Olivia Rodrigo",3337546,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,"Heartbreak Anniversary",Giveon,3193489,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
10,"Hold On","Justin Bieber",3161463,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
11,"Blinding Lights","The Weeknd",3070884,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"Levitating (feat. DaBaby)","Dua Lipa",2915111,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"The Business",Tiësto,2908687,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
14,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2833632,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
15,DÁKITI,"Bad Bunny",2828796,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,Fiel,"Los Legendarios",2814746,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
17,Up,"Cardi B",2810854,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
18,"Calling My Phone","Lil Tjay",2628090,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
19,"Film out",BTS,2614128,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
20,"Mood (feat. iann dior)",24kGoldn,2297944,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
21,"WITHOUT YOU","The Kid LAROI",2294434,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
22,Bandido,"Myke Towers",2198510,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
23,Streets,"Doja Cat",2198317,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
24,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",2145460,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
25,Dynamite,BTS,2034688,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
26,"Your Love (9PM)",ATB,1996412,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
27,Arcade,"Duncan Laurence",1902625,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
28,911,Sech,1893920,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
29,"Watermelon Sugar","Harry Styles",1892033,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,"Heat Waves","Glass Animals",1885064,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
31,"LA NOCHE DE ANOCHE","Bad Bunny",1883292,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
