,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7042363,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6164032,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4372973,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Astronaut In The Ocean","Masked Wolf",3905748,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3835627,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
6,RAPSTAR,"Polo G",3831714,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
7,"Levitating (feat. DaBaby)","Dua Lipa",3748854,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"Leave The Door Open","Bruno Mars",3632519,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,"deja vu","Olivia Rodrigo",3239296,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
10,"Botella Tras Botella","Gera MX",3223164,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
11,Fiel,"Los Legendarios",3184798,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
12,"Heartbreak Anniversary",Giveon,3065929,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,"drivers license","Olivia Rodrigo",2961494,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,telepatía,"Kali Uchis",2730081,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Blinding Lights","The Weeknd",2640430,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,Runaway,AURORA,2576861,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2489619,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Save Your Tears","The Weeknd",2488907,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
19,DÁKITI,"Bad Bunny",2420638,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
20,"The Business",Tiësto,2368363,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
21,"Hold On","Justin Bieber",2320225,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
22,"Pareja Del Año","Sebastian Yatra",2309016,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
23,Up,"Cardi B",2168974,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
24,Am,"Nio Garcia",2165893,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
25,"WITHOUT YOU","The Kid LAROI",1962689,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
26,Arcade,"Duncan Laurence",1915060,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
27,"Mood (feat. iann dior)",24kGoldn,1898140,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
28,"Heat Waves","Glass Animals",1824764,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,Streets,"Doja Cat",1816371,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
30,"Your Love (9PM)",ATB,1784538,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
31,Bandido,"Myke Towers",1775447,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
32,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1738913,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
33,"Watermelon Sugar","Harry Styles",1710814,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,Dynamite,BTS,1679222,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
35,911,Sech,1670865,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
36,"Goosebumps - Remix","Travis Scott",1669227,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
37,"Calling My Phone","Lil Tjay",1665850,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
38,"Someone You Loved","Lewis Capaldi",1612284,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
39,"EL MAKINON","KAROL G",1569670,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
40,"LA NOCHE DE ANOCHE","Bad Bunny",1543322,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
41,"Don't Start Now","Dua Lipa",1518984,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
42,"We're Good","Dua Lipa",1465756,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
43,BED,"Joel Corry",1465392,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
44,"Good Days",SZA,1436864,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
45,"Best Friend (feat. Doja Cat)",Saweetie,1427374,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
46,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1409963,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
47,"Head & Heart (feat. MNEK)","Joel Corry",1406036,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
48,"Talking to the Moon","Bruno Mars",1405851,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
49,positions,"Ariana Grande",1381070,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
50,"Paradise (feat. Dermot Kennedy)",MEDUZA,1352536,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
51,"Sweater Weather","The Neighbourhood",1308825,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
52,Anyone,"Justin Bieber",1307620,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
53,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1275817,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
54,"Solid (feat. Drake)","Young Stoner Life",1251448,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
55,"Ella No Es Tuya - Remix","Rochy RD",1242324,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
56,"Cover Me In Sunshine",P!nk,1228296,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
57,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1221636,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
58,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1212507,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
59,"Wants and Needs (feat. Lil Baby)",Drake,1205514,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
60,34+35,"Ariana Grande",1198846,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
61,"My Head & My Heart","Ava Max",1197625,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
62,"Hecha Pa' Mi",Boza,1174225,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
63,"Dance Monkey","Tones And I",1159586,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
64,"you broke me first","Tate McRae",1129528,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
65,"Before You Go","Lewis Capaldi",1126855,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
66,"GIRL LIKE ME","Black Eyed Peas",1122766,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
67,"Roses - Imanbek Remix","SAINt JHN",1119714,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
68,"What’s Next",Drake,1088206,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
69,"lovely (with Khalid)","Billie Eilish",1072556,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
70,Whoopty,CJ,1069328,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
71,"Holy (feat. Chance The Rapper)","Justin Bieber",1069310,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
72,"Another Love","Tom Odell",1066211,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
73,"WAP (feat. Megan Thee Stallion)","Cardi B",1060436,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
74,"Therefore I Am","Billie Eilish",1029904,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
75,Heather,"Conan Gray",1027527,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
76,Circles,"Post Malone",1024956,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
77,"Martin & Gina","Polo G",1019409,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
78,"What You Know Bout Love","Pop Smoke",1010830,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
79,Levitating,"Dua Lipa",1007957,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
80,You,Regard,989703,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
81,Reloj,"Rauw Alejandro",973639,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
82,"Follow You","Imagine Dragons",973201,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
83,"Otra Noche Sin Ti","J Balvin",968641,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
84,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",961222,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
85,Shallow,"Lady Gaga",957114,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
86,"Slumber Party (feat. Princess Nokia)",Ashnikko,953353,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
