,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6632486,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5945783,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",3887179,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Astronaut In The Ocean","Masked Wolf",3668752,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,RAPSTAR,"Polo G",3624695,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
6,"Levitating (feat. DaBaby)","Dua Lipa",3547865,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3501941,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
8,"Leave The Door Open","Bruno Mars",3440900,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,"Botella Tras Botella","Gera MX",3410813,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
10,Fiel,"Los Legendarios",3154005,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"deja vu","Olivia Rodrigo",2962611,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Heartbreak Anniversary",Giveon,2892525,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,"drivers license","Olivia Rodrigo",2804396,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,telepatía,"Kali Uchis",2603181,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Blinding Lights","The Weeknd",2564176,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,DÁKITI,"Bad Bunny",2482447,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2450894,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Save Your Tears","The Weeknd",2415068,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
19,Runaway,AURORA,2414633,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
20,"The Business",Tiësto,2248971,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
21,"Hold On","Justin Bieber",2136235,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
22,Up,"Cardi B",2091493,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
23,Am,"Nio Garcia",2056789,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
24,"Pareja Del Año","Sebastian Yatra",1920402,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
25,"Mood (feat. iann dior)",24kGoldn,1882515,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
26,"WITHOUT YOU","The Kid LAROI",1860781,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
27,Arcade,"Duncan Laurence",1829360,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
28,Bandido,"Myke Towers",1795474,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
29,"Heat Waves","Glass Animals",1741320,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
30,Streets,"Doja Cat",1728545,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
31,"Your Love (9PM)",ATB,1662172,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,911,Sech,1659049,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
33,"Watermelon Sugar","Harry Styles",1652940,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,Dynamite,BTS,1630116,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
35,"Calling My Phone","Lil Tjay",1605769,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
36,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1594737,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
37,"Goosebumps - Remix","Travis Scott",1577507,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
38,"LA NOCHE DE ANOCHE","Bad Bunny",1571692,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
39,"EL MAKINON","KAROL G",1514019,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
40,"Someone You Loved","Lewis Capaldi",1513548,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,"Don't Start Now","Dua Lipa",1443234,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
42,"Best Friend (feat. Doja Cat)",Saweetie,1417845,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
43,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1375314,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
44,"We're Good","Dua Lipa",1358676,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
45,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1354828,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
46,"Good Days",SZA,1350903,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
47,BED,"Joel Corry",1321970,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
48,"Head & Heart (feat. MNEK)","Joel Corry",1310866,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
49,positions,"Ariana Grande",1309981,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
50,"Talking to the Moon","Bruno Mars",1278562,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
51,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1263903,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
52,"Paradise (feat. Dermot Kennedy)",MEDUZA,1250775,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
53,"Sweater Weather","The Neighbourhood",1236449,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
