,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6500007,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5817318,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",5029334,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Your Power","Billie Eilish",4608707,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
5,"Levitating (feat. DaBaby)","Dua Lipa",4034388,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Astronaut In The Ocean","Masked Wolf",3763079,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Leave The Door Open","Bruno Mars",3630246,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,RAPSTAR,"Polo G",3548484,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3400261,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
10,Fiel,"Los Legendarios",3309604,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"deja vu","Olivia Rodrigo",3196829,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Pareja Del Año","Sebastian Yatra",3060196,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"drivers license","Olivia Rodrigo",2849188,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Heartbreak Anniversary",Giveon,2715858,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
15,Am,"Nio Garcia",2604149,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
16,telepatía,"Kali Uchis",2537477,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
17,"Blinding Lights","The Weeknd",2511669,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"Botella Tras Botella","Gera MX",2510693,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2402344,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,Runaway,AURORA,2394629,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
21,DÁKITI,"Bad Bunny",2314055,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
22,"The Business",Tiësto,2297744,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
23,"Hold On","Justin Bieber",2208183,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
24,"Save Your Tears","The Weeknd",2045438,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,Up,"Cardi B",1984833,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
26,Arcade,"Duncan Laurence",1860447,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
27,"Mood (feat. iann dior)",24kGoldn,1839243,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
28,"Heat Waves","Glass Animals",1810063,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,Streets,"Doja Cat",1782299,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
30,Bandido,"Myke Towers",1743057,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
31,"Your Love (9PM)",ATB,1742700,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,"Goosebumps - Remix","Travis Scott",1730156,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
33,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1728371,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
34,911,Sech,1683759,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
35,Dynamite,BTS,1681387,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
36,"Watermelon Sugar","Harry Styles",1677323,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
37,"EL MAKINON","KAROL G",1672170,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
38,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",1668269,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
39,"Calling My Phone","Lil Tjay",1613002,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
40,"Someone You Loved","Lewis Capaldi",1607818,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,"Don't Start Now","Dua Lipa",1538539,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
42,"LA NOCHE DE ANOCHE","Bad Bunny",1521770,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
