,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7779930,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7614056,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Astronaut In The Ocean","Masked Wolf",4325203,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3674791,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",3539205,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,telepatía,"Kali Uchis",3520838,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
7,"Leave The Door Open","Bruno Mars",3471548,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Heartbreak Anniversary",Giveon,3278163,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,"deja vu","Olivia Rodrigo",3151363,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
10,Fiel,"Los Legendarios",3096023,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Hold On","Justin Bieber",2983816,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
12,"Levitating (feat. DaBaby)","Dua Lipa",2982183,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Blinding Lights","The Weeknd",2820928,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,Up,"Cardi B",2672791,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
15,"The Business",Tiësto,2592150,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
16,DÁKITI,"Bad Bunny",2583071,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2275517,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Calling My Phone","Lil Tjay",2199016,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
19,"WITHOUT YOU","The Kid LAROI",2149252,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
20,Streets,"Doja Cat",2117089,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
21,Bandido,"Myke Towers",2075794,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
22,"Mood (feat. iann dior)",24kGoldn,2064361,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
23,Arcade,"Duncan Laurence",1934875,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
24,Dynamite,BTS,1845209,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
25,"Heat Waves","Glass Animals",1823277,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
26,"Watermelon Sugar","Harry Styles",1787387,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,Anyone,"Justin Bieber",1780689,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
28,"Your Love (9PM)",ATB,1764163,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
29,"LA NOCHE DE ANOCHE","Bad Bunny",1762064,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
30,positions,"Ariana Grande",1710797,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
31,"We're Good","Dua Lipa",1703944,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
32,"Goosebumps - Remix","Travis Scott",1702341,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
33,"Someone You Loved","Lewis Capaldi",1692758,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"Film out",BTS,1688702,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
35,"Good Days",SZA,1684959,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
36,"Ella No Es Tuya - Remix","Rochy RD",1675414,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
37,911,Sech,1645958,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
38,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1639808,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
39,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1633298,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
40,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1624517,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
41,"As I Am (feat. Khalid)","Justin Bieber",1604900,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
42,"Don't Start Now","Dua Lipa",1571795,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
43,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1554141,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
44,"Holy (feat. Chance The Rapper)","Justin Bieber",1552504,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
