,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6931781,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",6598429,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
3,"Astronaut In The Ocean","Masked Wolf",3919627,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3381224,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",3295427,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,telepatía,"Kali Uchis",3293790,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
7,"Leave The Door Open","Bruno Mars",3196333,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Heartbreak Anniversary",Giveon,2999756,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,Fiel,"Los Legendarios",2757058,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Blinding Lights","The Weeknd",2749011,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Hold On","Justin Bieber",2698061,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
12,"Levitating (feat. DaBaby)","Dua Lipa",2683854,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"deja vu","Olivia Rodrigo",2677467,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
14,DÁKITI,"Bad Bunny",2617920,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
15,Up,"Cardi B",2478997,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
16,"The Business",Tiësto,2456752,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2272429,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Calling My Phone","Lil Tjay",2213582,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
19,Bandido,"Myke Towers",2069413,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
20,"Mood (feat. iann dior)",24kGoldn,2053205,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
