,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7712111,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7085358,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4408833,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4224761,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"deja vu","Olivia Rodrigo",3770821,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
6,"Kiss Me More (feat. SZA)","Doja Cat",3599436,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"Leave The Door Open","Bruno Mars",3593664,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Levitating (feat. DaBaby)","Dua Lipa",3468047,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,"drivers license","Olivia Rodrigo",3417341,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
10,"Save Your Tears","The Weeknd",3396712,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,Fiel,"Los Legendarios",3395170,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
12,"Heartbreak Anniversary",Giveon,3337790,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,telepatía,"Kali Uchis",3150638,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Blinding Lights","The Weeknd",2749024,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,DÁKITI,"Bad Bunny",2672707,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,"Hold On","Justin Bieber",2612419,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
17,"The Business",Tiësto,2564890,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,Up,"Cardi B",2484189,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2388506,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,Runaway,AURORA,2216468,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
21,"Calling My Phone","Lil Tjay",2153559,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
22,"WITHOUT YOU","The Kid LAROI",2044676,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
23,Arcade,"Duncan Laurence",2006484,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
24,"Mood (feat. iann dior)",24kGoldn,2003506,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
25,Bandido,"Myke Towers",1970144,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
26,Streets,"Doja Cat",1960744,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
27,911,Sech,1865476,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
28,"Heat Waves","Glass Animals",1821232,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,"Watermelon Sugar","Harry Styles",1815161,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,"Your Love (9PM)",ATB,1805187,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
31,"LA NOCHE DE ANOCHE","Bad Bunny",1780534,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
32,Dynamite,BTS,1775602,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",1719836,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
34,"Someone You Loved","Lewis Capaldi",1714709,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,"Goosebumps - Remix","Travis Scott",1696139,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
36,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1641971,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
37,"Don't Start Now","Dua Lipa",1622159,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
38,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1616005,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
39,Anyone,"Justin Bieber",1586312,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
40,"Ella No Es Tuya - Remix","Rochy RD",1543118,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
41,"We're Good","Dua Lipa",1532478,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
42,"Good Days",SZA,1531104,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
43,positions,"Ariana Grande",1503097,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
44,"Best Friend (feat. Doja Cat)",Saweetie,1463359,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
45,"Head & Heart (feat. MNEK)","Joel Corry",1460531,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
46,"Paradise (feat. Dermot Kennedy)",MEDUZA,1447429,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
47,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1437919,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
48,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1434423,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
49,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1430334,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
50,"Hecha Pa' Mi",Boza,1398809,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
51,"EL MAKINON","KAROL G",1394641,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
52,"Sweater Weather","The Neighbourhood",1341415,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
53,Am,"Nio Garcia",1335615,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
54,"you broke me first","Tate McRae",1319965,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
55,"Holy (feat. Chance The Rapper)","Justin Bieber",1296521,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
56,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1286456,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
57,"What’s Next",Drake,1284818,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
58,"Talking to the Moon","Bruno Mars",1283300,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
59,"GIRL LIKE ME","Black Eyed Peas",1282116,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
60,"My Head & My Heart","Ava Max",1270172,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
61,"Dance Monkey","Tones And I",1269154,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
62,34+35,"Ariana Grande",1265559,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
63,Whoopty,CJ,1255669,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
64,BED,"Joel Corry",1251065,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
65,"Otra Noche Sin Ti","J Balvin",1201176,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
66,"Roses - Imanbek Remix","SAINt JHN",1187550,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
67,"Before You Go","Lewis Capaldi",1177738,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
68,"As I Am (feat. Khalid)","Justin Bieber",1175155,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
69,"WAP (feat. Megan Thee Stallion)","Cardi B",1167619,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
70,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1163371,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
71,"Shy Away","Twenty One Pilots",1140820,https://open.spotify.com/track/2z0IupRlVRlDN5r2IVqHyN
72,"Lonely (with benny blanco)","Justin Bieber",1119868,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
73,"lovely (with Khalid)","Billie Eilish",1115742,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
74,"Love Story (Taylor’s Version)","Taylor Swift",1113807,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
75,"Therefore I Am","Billie Eilish",1110891,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
76,"On The Ground",ROSÉ,1108383,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
77,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1102775,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
78,Heather,"Conan Gray",1095240,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
79,Reloj,"Rauw Alejandro",1092724,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
80,"What You Know Bout Love","Pop Smoke",1092089,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
81,Circles,"Post Malone",1072069,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
82,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",1069826,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
83,"Another Love","Tom Odell",1068825,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
84,"Wants and Needs (feat. Lil Baby)",Drake,1063788,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
85,BICHOTA,"KAROL G",1060988,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
86,Shallow,"Lady Gaga",1055659,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
87,"Martin & Gina","Polo G",1040271,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
88,Hawái,Maluma,1034637,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
89,Señorita,"Shawn Mendes",1030946,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
90,SugarCrash!,ElyOtto,1030785,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
91,"Travesuras - Remix","Nio Garcia",1028367,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
92,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1018378,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
93,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1008551,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
94,"Slumber Party (feat. Princess Nokia)",Ashnikko,1003154,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
95,HOLIDAY,"Lil Nas X",997993,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
96,"Film out",BTS,997728,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
97,Memories,"Maroon 5",983823,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
98,"TE MUDASTE","Bad Bunny",982456,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
99,"Cloud 9","Beach Bunny",980717,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
100,Believer,"Imagine Dragons",980602,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
101,"Adore You","Harry Styles",967215,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
102,"Cover Me In Sunshine",P!nk,966757,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
103,"death bed (coffee for your head)",Powfu,966247,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
104,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",965229,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
105,"bad guy","Billie Eilish",960820,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
106,"Disco Arranhado - Funk Remix",Malu,954810,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
107,"Follow You","Imagine Dragons",949043,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
108,"Take Me To Church",Hozier,948425,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
109,goosebumps,"Travis Scott",944791,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
110,"Say You Won't Let Go","James Arthur",940262,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
111,"Lucid Dreams","Juice WRLD",937995,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
112,"Shape of You","Ed Sheeran",930217,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
113,Levitating,"Dua Lipa",925053,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
114,"Machu Picchu",Camilo,919847,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
115,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",911493,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
116,"At My Worst","Pink Sweat$",909697,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
117,Perfect,"Ed Sheeran",908211,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
118,"No Te Enamores - Remix",Milly,907243,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
119,"Breaking Me",Topic,903218,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
120,Golden,"Harry Styles",900461,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
121,"The Hills","The Weeknd",898333,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
122,"La Nota","Manuel Turizo",886285,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
123,"Savage Love (Laxed - Siren Beat)","Jawsh 685",882872,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
124,"The Box","Roddy Ricch",881418,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
125,Goosebumps,HVME,877971,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
126,"Laugh Now Cry Later (feat. Lil Durk)",Drake,877501,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
127,"Wasted Love (feat. Lagique)",Ofenbach,876042,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
128,"Somebody That I Used To Know",Gotye,875163,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
129,"Just the Way You Are","Bruno Mars",864894,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
130,"Break My Heart","Dua Lipa",858886,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
131,"All of Me","John Legend",856221,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
132,"Daddy Issues","The Neighbourhood",852304,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
133,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",852142,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
134,"Blueberry Faygo","Lil Mosey",842613,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
135,"Bohemian Rhapsody - Remastered 2011",Queen,842541,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
136,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",839021,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
137,"Dreams - 2004 Remaster","Fleetwood Mac",838537,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
138,"7 rings","Ariana Grande",828078,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
139,"Rain On Me (with Ariana Grande)","Lady Gaga",824832,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
