,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",5902812,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5302546,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",5107068,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Levitating (feat. DaBaby)","Dua Lipa",3952023,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
5,"Astronaut In The Ocean","Masked Wolf",3480792,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Leave The Door Open","Bruno Mars",3412913,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,RAPSTAR,"Polo G",3149298,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,Fiel,"Los Legendarios",3130322,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
9,"Your Power","Billie Eilish",3104552,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
10,"Pareja Del Año","Sebastian Yatra",2987767,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"deja vu","Olivia Rodrigo",2952717,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2951173,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
13,"drivers license","Olivia Rodrigo",2624386,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",2583411,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
15,Am,"Nio Garcia",2562957,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
16,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",2455178,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
17,"Heartbreak Anniversary",Giveon,2447827,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
18,"Blinding Lights","The Weeknd",2427389,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2343876,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,telepatía,"Kali Uchis",2311716,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
21,"Botella Tras Botella","Gera MX",2278823,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
22,"i n t e r l u d e","J. Cole",2223987,https://open.spotify.com/track/2gyYjQWXKxemhAyMPgctIx
23,"The Business",Tiësto,2189688,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
24,Runaway,AURORA,2150725,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
25,DÁKITI,"Bad Bunny",2119364,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
26,"Hold On","Justin Bieber",1975747,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
27,"Save Your Tears","The Weeknd",1871647,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
28,Up,"Cardi B",1822050,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
29,"Mood (feat. iann dior)",24kGoldn,1742666,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
30,"Heat Waves","Glass Animals",1731508,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
31,Arcade,"Duncan Laurence",1728543,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
32,"Your Love (9PM)",ATB,1674070,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
33,Streets,"Doja Cat",1662723,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
34,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1655487,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
35,"EL MAKINON","KAROL G",1652034,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
36,Bandido,"Myke Towers",1644666,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
37,"Watermelon Sugar","Harry Styles",1643418,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,Dynamite,BTS,1605348,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
39,"Goosebumps - Remix","Travis Scott",1604355,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
40,"Someone You Loved","Lewis Capaldi",1556193,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,"Higher Power",Coldplay,1531971,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
42,BED,"Joel Corry",1506350,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
43,911,Sech,1495399,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
44,"Don't Start Now","Dua Lipa",1492178,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
45,"LA NOCHE DE ANOCHE","Bad Bunny",1447586,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
46,"Talking to the Moon","Bruno Mars",1422777,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
47,"Calling My Phone","Lil Tjay",1404100,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
48,"WITHOUT YOU","The Kid LAROI",1400187,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
49,"Head & Heart (feat. MNEK)","Joel Corry",1339530,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
50,"We're Good","Dua Lipa",1324083,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
51,positions,"Ariana Grande",1299687,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
52,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",1278967,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
53,"Sweater Weather","The Neighbourhood",1272961,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
54,"Wants and Needs (feat. Lil Baby)",Drake,1209892,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
55,Rasputin,Majestic,1205641,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
56,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1195526,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
57,"Good Days",SZA,1195457,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
58,"Paradise (feat. Dermot Kennedy)",MEDUZA,1183261,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
59,"Best Friend (feat. Doja Cat)",Saweetie,1182170,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
60,"Cover Me In Sunshine",P!nk,1163594,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
61,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1156230,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
62,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1136386,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
63,"Dance Monkey","Tones And I",1123008,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
64,"lovely (with Khalid)","Billie Eilish",1111792,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
65,"Hecha Pa' Mi",Boza,1111001,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
66,Levitating,"Dua Lipa",1110841,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
67,34+35,"Ariana Grande",1109475,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
68,"Before You Go","Lewis Capaldi",1100242,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
69,"you broke me first","Tate McRae",1088048,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
70,Anyone,"Justin Bieber",1069848,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
