,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7717053,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7016883,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",5039298,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
4,"Botella Tras Botella","Gera MX",4890744,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
5,"Astronaut In The Ocean","Masked Wolf",4342915,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,RAPSTAR,"Polo G",4329216,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
7,"Kiss Me More (feat. SZA)","Doja Cat",4307544,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
8,"Levitating (feat. DaBaby)","Dua Lipa",4012448,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,"Leave The Door Open","Bruno Mars",3891641,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,Fiel,"Los Legendarios",3567938,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3391219,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
12,"deja vu","Olivia Rodrigo",3381946,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
13,"Heartbreak Anniversary",Giveon,3282819,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
14,"drivers license","Olivia Rodrigo",3144952,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Save Your Tears","The Weeknd",3055998,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
16,"Blinding Lights","The Weeknd",2974719,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,telepatía,"Kali Uchis",2950154,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
18,"The Business",Tiësto,2781080,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,DÁKITI,"Bad Bunny",2757552,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
20,Runaway,AURORA,2631344,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
21,"Hold On","Justin Bieber",2560768,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
22,Up,"Cardi B",2444093,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
23,"WITHOUT YOU","The Kid LAROI",2171973,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
24,Am,"Nio Garcia",2157636,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
25,"Mood (feat. iann dior)",24kGoldn,2113305,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
26,"Your Love (9PM)",ATB,2052103,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
27,Bandido,"Myke Towers",2045576,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
28,Arcade,"Duncan Laurence",2016916,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
29,Streets,"Doja Cat",1970466,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
30,"Heat Waves","Glass Animals",1959184,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
31,911,Sech,1909041,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
32,"Watermelon Sugar","Harry Styles",1894622,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,"Pareja Del Año","Sebastian Yatra",1871333,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
34,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1868789,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
35,"Calling My Phone","Lil Tjay",1857614,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
36,"Goosebumps - Remix","Travis Scott",1844286,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
37,"LA NOCHE DE ANOCHE","Bad Bunny",1766498,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
38,Dynamite,BTS,1762683,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
39,"Someone You Loved","Lewis Capaldi",1704087,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,"Don't Start Now","Dua Lipa",1701870,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"EL MAKINON","KAROL G",1669468,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
42,"Head & Heart (feat. MNEK)","Joel Corry",1667047,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
43,"We're Good","Dua Lipa",1606338,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
44,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1603602,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
45,"Best Friend (feat. Doja Cat)",Saweetie,1600828,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
46,BED,"Joel Corry",1598363,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
47,"Good Days",SZA,1540137,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
48,positions,"Ariana Grande",1524191,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
49,Anyone,"Justin Bieber",1505825,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
50,"Paradise (feat. Dermot Kennedy)",MEDUZA,1500686,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
51,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1494454,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
52,"Solid (feat. Drake)","Young Stoner Life",1491261,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
53,"Ella No Es Tuya - Remix","Rochy RD",1488531,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
54,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1462998,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
55,"Talking to the Moon","Bruno Mars",1430299,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
56,"Hecha Pa' Mi",Boza,1396187,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
57,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1383997,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
58,"My Head & My Heart","Ava Max",1354981,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
59,"Dance Monkey","Tones And I",1340852,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
60,"Sweater Weather","The Neighbourhood",1337593,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
61,"Cover Me In Sunshine",P!nk,1321736,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
62,"Wants and Needs (feat. Lil Baby)",Drake,1306562,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
63,34+35,"Ariana Grande",1295341,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
64,"Roses - Imanbek Remix","SAINt JHN",1289322,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
65,"GIRL LIKE ME","Black Eyed Peas",1285194,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
66,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1249719,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
67,Whoopty,CJ,1232606,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
68,"WAP (feat. Megan Thee Stallion)","Cardi B",1218752,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
69,"What’s Next",Drake,1213052,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
70,"you broke me first","Tate McRae",1206702,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
71,"Holy (feat. Chance The Rapper)","Justin Bieber",1188315,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
72,"Before You Go","Lewis Capaldi",1164755,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
73,"Come Through (feat. Chris Brown)",H.E.R.,1131356,https://open.spotify.com/track/3krZxyBsWEHfEfJegYaWTd
74,Reloj,"Rauw Alejandro",1125846,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
75,Circles,"Post Malone",1111031,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
76,"What You Know Bout Love","Pop Smoke",1107313,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
77,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1101523,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
78,"Martin & Gina","Polo G",1098423,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
79,You,Regard,1096843,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
80,"lovely (with Khalid)","Billie Eilish",1093073,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
81,Shallow,"Lady Gaga",1089918,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
82,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",1088946,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
83,"Therefore I Am","Billie Eilish",1077711,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
84,Hawái,Maluma,1074492,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
85,"Volta Bebê, Volta Neném","Dj Guuga",1074061,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
86,"Otra Noche Sin Ti","J Balvin",1070815,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
87,BICHOTA,"KAROL G",1060134,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
88,"Wasted Love (feat. Lagique)",Ofenbach,1058272,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
89,"Disco Arranhado - Funk Remix",Malu,1057658,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
90,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1054287,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
91,Señorita,"Shawn Mendes",1050069,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
92,"Another Love","Tom Odell",1048252,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
93,Levitating,"Dua Lipa",1046897,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
94,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1044408,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
95,Heather,"Conan Gray",1037546,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
96,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1033503,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
97,"Lonely (with benny blanco)","Justin Bieber",1026812,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
98,Believer,"Imagine Dragons",1016342,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
99,"Slumber Party (feat. Princess Nokia)",Ashnikko,1012425,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
100,"Follow You","Imagine Dragons",1011157,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
101,"Liberdade (Quando o Grave Bate Forte)",Alok,1005064,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
102,goosebumps,"Travis Scott",1003651,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
103,Memories,"Maroon 5",995927,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
104,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",995095,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
105,"Adore You","Harry Styles",981415,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
106,"Lucid Dreams","Juice WRLD",974129,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
107,"bad guy","Billie Eilish",973089,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
