,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6417792,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5788548,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",5176712,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Levitating (feat. DaBaby)","Dua Lipa",4095256,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
5,"Your Power","Billie Eilish",4059255,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
6,"Astronaut In The Ocean","Masked Wolf",3799830,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Leave The Door Open","Bruno Mars",3670906,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,RAPSTAR,"Polo G",3556815,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,Fiel,"Los Legendarios",3363178,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3311337,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
11,"deja vu","Olivia Rodrigo",3161399,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Pareja Del Año","Sebastian Yatra",3135822,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"drivers license","Olivia Rodrigo",2858982,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,Am,"Nio Garcia",2684456,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
15,"Heartbreak Anniversary",Giveon,2663872,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
16,"Blinding Lights","The Weeknd",2576011,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,telepatía,"Kali Uchis",2559578,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2509142,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"Botella Tras Botella","Gera MX",2490426,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
20,DÁKITI,"Bad Bunny",2402592,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,"The Business",Tiësto,2369938,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,Runaway,AURORA,2350376,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
23,"Hold On","Justin Bieber",2174867,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
24,Up,"Cardi B",2047682,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
25,"Save Your Tears","The Weeknd",2038273,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
26,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",1955236,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
27,"Heat Waves","Glass Animals",1884834,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,Arcade,"Duncan Laurence",1874382,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
29,"Mood (feat. iann dior)",24kGoldn,1862281,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
30,Streets,"Doja Cat",1827226,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
31,Bandido,"Myke Towers",1787746,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
