,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7264205,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6814173,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4329621,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",3870459,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Leave The Door Open","Bruno Mars",3236348,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"Save Your Tears","The Weeknd",3201067,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
7,"drivers license","Olivia Rodrigo",3194849,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,"Kiss Me More (feat. SZA)","Doja Cat",3170512,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
9,Fiel,"Los Legendarios",3146966,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Heartbreak Anniversary",Giveon,3131034,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
11,telepatía,"Kali Uchis",3006219,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,"Levitating (feat. DaBaby)","Dua Lipa",2698955,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Blinding Lights","The Weeknd",2581670,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"deja vu","Olivia Rodrigo",2556121,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
15,DÁKITI,"Bad Bunny",2450295,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,Up,"Cardi B",2367499,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
17,"Hold On","Justin Bieber",2360421,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,"The Business",Tiësto,2298128,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2175280,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
