,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6982221,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6004467,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4713998,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Astronaut In The Ocean","Masked Wolf",3926975,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Levitating (feat. DaBaby)","Dua Lipa",3882338,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Leave The Door Open","Bruno Mars",3745593,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,RAPSTAR,"Polo G",3725820,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3691453,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
9,Fiel,"Los Legendarios",3362805,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"deja vu","Olivia Rodrigo",3256486,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
11,"Heartbreak Anniversary",Giveon,3018979,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",2977456,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,"Botella Tras Botella","Gera MX",2757004,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
14,telepatía,"Kali Uchis",2727062,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Blinding Lights","The Weeknd",2709419,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Pareja Del Año","Sebastian Yatra",2661073,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
17,Runaway,AURORA,2535059,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2506451,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,DÁKITI,"Bad Bunny",2477289,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
20,Am,"Nio Garcia",2430275,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
21,"The Business",Tiësto,2422930,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,"Save Your Tears","The Weeknd",2393786,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
23,"Hold On","Justin Bieber",2294320,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
24,Up,"Cardi B",2175389,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
25,"Your Power","Billie Eilish",2135236,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
26,Arcade,"Duncan Laurence",1954574,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
27,"WITHOUT YOU","The Kid LAROI",1951062,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
28,"Mood (feat. iann dior)",24kGoldn,1920638,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
29,Streets,"Doja Cat",1853828,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
30,Bandido,"Myke Towers",1834274,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
31,"Heat Waves","Glass Animals",1827118,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
32,"Your Love (9PM)",ATB,1770852,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
33,"Watermelon Sugar","Harry Styles",1767806,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,911,Sech,1760506,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
35,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1748866,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
36,Dynamite,BTS,1740627,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
37,"Goosebumps - Remix","Travis Scott",1694705,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
38,"Calling My Phone","Lil Tjay",1681295,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
39,"EL MAKINON","KAROL G",1679842,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
40,"Someone You Loved","Lewis Capaldi",1668146,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,"Don't Start Now","Dua Lipa",1597654,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
42,"LA NOCHE DE ANOCHE","Bad Bunny",1589281,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
43,BED,"Joel Corry",1497024,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
44,"Talking to the Moon","Bruno Mars",1496263,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
45,"We're Good","Dua Lipa",1487691,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
46,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1479652,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
47,positions,"Ariana Grande",1455932,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
48,"Head & Heart (feat. MNEK)","Joel Corry",1432308,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
49,"Good Days",SZA,1429683,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
50,"Best Friend (feat. Doja Cat)",Saweetie,1416086,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
51,"Paradise (feat. Dermot Kennedy)",MEDUZA,1378783,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
52,"Sweater Weather","The Neighbourhood",1345161,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
