,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7773778,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7591462,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Astronaut In The Ocean","Masked Wolf",4338114,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3689615,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",3556753,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Leave The Door Open","Bruno Mars",3494531,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,telepatía,"Kali Uchis",3493997,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
8,"Heartbreak Anniversary",Giveon,3300753,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,Fiel,"Los Legendarios",3170287,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"deja vu","Olivia Rodrigo",3086284,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
11,"Levitating (feat. DaBaby)","Dua Lipa",3012874,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,"Hold On","Justin Bieber",2940648,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
13,"Blinding Lights","The Weeknd",2857520,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,Up,"Cardi B",2652458,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
15,"The Business",Tiësto,2625289,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
16,DÁKITI,"Bad Bunny",2597684,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2306833,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",2301576,https://open.spotify.com/track/7l2tmgUhV7Y2aJHjiszifg
19,"Calling My Phone","Lil Tjay",2209048,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
20,"WITHOUT YOU","The Kid LAROI",2138786,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
21,Streets,"Doja Cat",2099621,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
22,"Mood (feat. iann dior)",24kGoldn,2081993,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
23,Bandido,"Myke Towers",2080492,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
24,911,Sech,2038043,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
25,Arcade,"Duncan Laurence",1939203,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
26,Dynamite,BTS,1847133,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
27,"Heat Waves","Glass Animals",1822103,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"Your Love (9PM)",ATB,1797799,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
29,"Watermelon Sugar","Harry Styles",1797053,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,positions,"Ariana Grande",1782009,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
31,"LA NOCHE DE ANOCHE","Bad Bunny",1764604,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
32,Anyone,"Justin Bieber",1759360,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
33,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1729019,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
34,"Goosebumps - Remix","Travis Scott",1726918,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
35,"Someone You Loved","Lewis Capaldi",1720879,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
36,"We're Good","Dua Lipa",1706071,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
37,"Ella No Es Tuya - Remix","Rochy RD",1668138,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
38,"Good Days",SZA,1666920,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
39,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1653379,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
40,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1651940,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
41,"Don't Start Now","Dua Lipa",1588735,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
42,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1573259,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
43,"As I Am (feat. Khalid)","Justin Bieber",1565684,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
44,"Film out",BTS,1559875,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
45,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1549434,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
46,"Holy (feat. Chance The Rapper)","Justin Bieber",1517638,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
47,"What’s Next",Drake,1508972,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
48,"Best Friend (feat. Doja Cat)",Saweetie,1499040,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
49,"On The Ground",ROSÉ,1445991,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
50,"Hecha Pa' Mi",Boza,1439235,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
51,"Paradise (feat. Dermot Kennedy)",MEDUZA,1433669,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
52,Whoopty,CJ,1424636,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
53,"you broke me first","Tate McRae",1410057,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
54,34+35,"Ariana Grande",1383857,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
55,"Head & Heart (feat. MNEK)","Joel Corry",1357248,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
56,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1345374,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
57,"What You Know Bout Love","Pop Smoke",1345280,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
58,"GIRL LIKE ME","Black Eyed Peas",1342981,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
59,"Sweater Weather","The Neighbourhood",1327597,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
60,"My Head & My Heart","Ava Max",1286325,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
61,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1247288,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
