,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7872014,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7640515,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Astronaut In The Ocean","Masked Wolf",4409330,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"drivers license","Olivia Rodrigo",3672006,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",3589468,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Leave The Door Open","Bruno Mars",3563382,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,telepatía,"Kali Uchis",3441940,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
8,"Heartbreak Anniversary",Giveon,3347628,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,Fiel,"Los Legendarios",3273980,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"deja vu","Olivia Rodrigo",3065648,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
11,"Levitating (feat. DaBaby)","Dua Lipa",3031890,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,"Blinding Lights","The Weeknd",2909620,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,"Hold On","Justin Bieber",2909255,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
14,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",2883252,https://open.spotify.com/track/7l2tmgUhV7Y2aJHjiszifg
15,"The Business",Tiësto,2682978,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
16,Up,"Cardi B",2656671,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
17,DÁKITI,"Bad Bunny",2641192,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2387523,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"Calling My Phone","Lil Tjay",2240930,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
