,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7809252,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7457305,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4566861,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4516819,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Leave The Door Open","Bruno Mars",3761274,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"Levitating (feat. DaBaby)","Dua Lipa",3754126,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,Fiel,"Los Legendarios",3714562,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
8,"Kiss Me More (feat. SZA)","Doja Cat",3642614,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
9,"Save Your Tears","The Weeknd",3573435,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,"deja vu","Olivia Rodrigo",3508158,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
11,"Heartbreak Anniversary",Giveon,3321159,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",3311636,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,telepatía,"Kali Uchis",3130223,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,DÁKITI,"Bad Bunny",2993682,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
15,"Blinding Lights","The Weeknd",2992656,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2962000,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
17,"The Business",Tiësto,2831095,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,"Hold On","Justin Bieber",2653430,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
19,Up,"Cardi B",2554153,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
20,Runaway,AURORA,2313543,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
21,Bandido,"Myke Towers",2233129,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
22,911,Sech,2173319,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
23,"Mood (feat. iann dior)",24kGoldn,2171550,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
24,"Solid (feat. Drake)","Young Stoner Life",2104992,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
25,"WITHOUT YOU","The Kid LAROI",2097798,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
26,"Calling My Phone","Lil Tjay",2020323,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
27,"Your Love (9PM)",ATB,2014616,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
28,Arcade,"Duncan Laurence",2003457,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
29,"LA NOCHE DE ANOCHE","Bad Bunny",1980003,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
30,Streets,"Doja Cat",1968590,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
31,"Heat Waves","Glass Animals",1919355,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
32,"Watermelon Sugar","Harry Styles",1909666,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1832183,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
34,"Goosebumps - Remix","Travis Scott",1818559,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
35,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1733374,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
36,"Don't Start Now","Dua Lipa",1721303,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
37,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1719979,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
38,Dynamite,BTS,1712578,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
39,Am,"Nio Garcia",1694536,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
