,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",5946870,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5360863,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",5208545,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Levitating (feat. DaBaby)","Dua Lipa",4082195,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
5,"Astronaut In The Ocean","Masked Wolf",3530536,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Leave The Door Open","Bruno Mars",3469761,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,RAPSTAR,"Polo G",3164751,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,Fiel,"Los Legendarios",3134611,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
9,"Your Power","Billie Eilish",3072409,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
10,"Pareja Del Año","Sebastian Yatra",3005353,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"deja vu","Olivia Rodrigo",2988915,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2980018,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
13,"drivers license","Olivia Rodrigo",2695576,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",2625531,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
15,Am,"Nio Garcia",2557454,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
16,"Heartbreak Anniversary",Giveon,2497975,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
17,"Blinding Lights","The Weeknd",2478612,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",2358526,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2345113,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,telepatía,"Kali Uchis",2341535,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
21,"The Business",Tiësto,2224351,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,"Botella Tras Botella","Gera MX",2206550,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
23,Runaway,AURORA,2180177,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
24,DÁKITI,"Bad Bunny",2129437,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
25,"i n t e r l u d e","J. Cole",2088053,https://open.spotify.com/track/2gyYjQWXKxemhAyMPgctIx
26,"Hold On","Justin Bieber",1991969,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
27,"Save Your Tears","The Weeknd",1894112,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
28,Up,"Cardi B",1874832,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
29,"Mood (feat. iann dior)",24kGoldn,1768900,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
30,"Heat Waves","Glass Animals",1761972,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
31,Arcade,"Duncan Laurence",1760007,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
32,"Your Love (9PM)",ATB,1697779,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
33,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1695226,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
34,Streets,"Doja Cat",1687557,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
35,"Watermelon Sugar","Harry Styles",1687383,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,"EL MAKINON","KAROL G",1669050,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
37,Bandido,"Myke Towers",1655658,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
38,"Goosebumps - Remix","Travis Scott",1630554,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
39,Dynamite,BTS,1619597,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
40,"Someone You Loved","Lewis Capaldi",1595300,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,"Higher Power",Coldplay,1580195,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
42,BED,"Joel Corry",1561828,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
43,"Don't Start Now","Dua Lipa",1547482,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
44,911,Sech,1510239,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
45,"Talking to the Moon","Bruno Mars",1458608,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
46,"LA NOCHE DE ANOCHE","Bad Bunny",1451270,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
47,"Calling My Phone","Lil Tjay",1428184,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
48,"WITHOUT YOU","The Kid LAROI",1416037,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
49,"Head & Heart (feat. MNEK)","Joel Corry",1395679,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
50,"We're Good","Dua Lipa",1358448,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
51,positions,"Ariana Grande",1327234,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
52,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",1292873,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
53,"Sweater Weather","The Neighbourhood",1287255,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
54,"Wants and Needs (feat. Lil Baby)",Drake,1247891,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
55,Rasputin,Majestic,1237346,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
56,"Good Days",SZA,1219709,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
57,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1215344,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
58,"Paradise (feat. Dermot Kennedy)",MEDUZA,1210949,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
59,"Best Friend (feat. Doja Cat)",Saweetie,1205060,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
60,"Cover Me In Sunshine",P!nk,1180905,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
61,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1164835,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
62,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1159387,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
63,"Dance Monkey","Tones And I",1157310,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
64,Levitating,"Dua Lipa",1132831,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
65,34+35,"Ariana Grande",1127401,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
66,"lovely (with Khalid)","Billie Eilish",1124129,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
67,"Hecha Pa' Mi",Boza,1123643,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
68,"you broke me first","Tate McRae",1121201,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
69,"Before You Go","Lewis Capaldi",1120397,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
70,"Roses - Imanbek Remix","SAINt JHN",1099850,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
71,2/Catorce,"Rauw Alejandro",1095651,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
72,Anyone,"Justin Bieber",1086893,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
73,"Dick (feat. Doja Cat)",StarBoi3,1075711,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
74,"Another Love","Tom Odell",1068328,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
75,"Ella No Es Tuya - Remix","Rochy RD",1068118,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
76,"My Head & My Heart","Ava Max",1053601,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
77,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1052237,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
78,"In the morning",ITZY,1023935,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
79,Heather,"Conan Gray",1021853,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
80,Miénteme,TINI,1016103,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
81,Circles,"Post Malone",1013016,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
82,Bipolar,"Mc Davi",1007375,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
83,Freaks,"Surf Curse",1006391,https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
84,"WAP (feat. Megan Thee Stallion)","Cardi B",989966,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
85,"Follow You","Imagine Dragons",989313,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
86,Shallow,"Lady Gaga",987916,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
87,"Martin & Gina","Polo G",979268,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
88,"bad guy","Billie Eilish",976359,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
89,"Never Left","Lil Tecca",973543,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
90,goosebumps,"Travis Scott",968965,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
91,"Solid (feat. Drake)","Young Stoner Life",966911,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
92,"Therefore I Am","Billie Eilish",965876,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
