,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6814849,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6449363,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",3981339,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",3840628,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Leave The Door Open","Bruno Mars",3365173,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"Kiss Me More (feat. SZA)","Doja Cat",3316483,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"Levitating (feat. DaBaby)","Dua Lipa",3290538,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"deja vu","Olivia Rodrigo",3211755,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,Fiel,"Los Legendarios",3194639,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Save Your Tears","The Weeknd",3067342,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"Heartbreak Anniversary",Giveon,3028689,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",3005923,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,telepatía,"Kali Uchis",2778945,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,DÁKITI,"Bad Bunny",2581802,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
15,"Blinding Lights","The Weeknd",2556135,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Hold On","Justin Bieber",2310346,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
17,"The Business",Tiësto,2272956,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2258724,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,Runaway,AURORA,2234614,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
20,Up,"Cardi B",2201697,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,Bandido,"Myke Towers",1918093,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
22,"Mood (feat. iann dior)",24kGoldn,1905661,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
23,Arcade,"Duncan Laurence",1855000,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
24,"WITHOUT YOU","The Kid LAROI",1819966,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,911,Sech,1795535,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
26,Streets,"Doja Cat",1785796,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
27,"Calling My Phone","Lil Tjay",1777111,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
28,"Heat Waves","Glass Animals",1713893,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,"Solid (feat. Drake)","Young Stoner Life",1704913,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
30,"LA NOCHE DE ANOCHE","Bad Bunny",1701217,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
31,"Watermelon Sugar","Harry Styles",1658370,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
32,Dynamite,BTS,1639603,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,"Your Love (9PM)",ATB,1582051,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
34,Am,"Nio Garcia",1561865,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
35,"Goosebumps - Remix","Travis Scott",1551408,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
36,"Someone You Loved","Lewis Capaldi",1534883,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1529097,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
38,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1518205,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
39,"Don't Start Now","Dua Lipa",1477523,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
40,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1477124,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
41,"Ella No Es Tuya - Remix","Rochy RD",1431824,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
42,"EL MAKINON","KAROL G",1393213,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
43,"Best Friend (feat. Doja Cat)",Saweetie,1384331,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
44,Anyone,"Justin Bieber",1379834,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
45,"Good Days",SZA,1369790,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
46,"We're Good","Dua Lipa",1362794,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
47,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1314990,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
48,"Hecha Pa' Mi",Boza,1312859,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
49,"Head & Heart (feat. MNEK)","Joel Corry",1296131,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
50,positions,"Ariana Grande",1292124,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
