,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7009987,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",6072231,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",4555370,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Astronaut In The Ocean","Masked Wolf",3935242,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Levitating (feat. DaBaby)","Dua Lipa",3856278,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,RAPSTAR,"Polo G",3760391,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
7,"Leave The Door Open","Bruno Mars",3703357,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3697001,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
9,Fiel,"Los Legendarios",3309927,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"deja vu","Olivia Rodrigo",3252878,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
11,"Heartbreak Anniversary",Giveon,3032471,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"drivers license","Olivia Rodrigo",2972991,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,"Botella Tras Botella","Gera MX",2890628,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
14,telepatía,"Kali Uchis",2756265,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Blinding Lights","The Weeknd",2695883,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Pareja Del Año","Sebastian Yatra",2558611,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
17,Runaway,AURORA,2547354,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2500075,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"Save Your Tears","The Weeknd",2467047,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
20,DÁKITI,"Bad Bunny",2460925,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,"The Business",Tiësto,2420921,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,Am,"Nio Garcia",2357241,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
23,"Hold On","Justin Bieber",2328056,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
24,Up,"Cardi B",2181811,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
25,"WITHOUT YOU","The Kid LAROI",1962430,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
26,Arcade,"Duncan Laurence",1957020,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
27,"Mood (feat. iann dior)",24kGoldn,1918598,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
28,Streets,"Doja Cat",1844140,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
29,"Heat Waves","Glass Animals",1831855,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
30,Bandido,"Myke Towers",1817658,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
31,"Your Love (9PM)",ATB,1799279,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1772194,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
33,"Watermelon Sugar","Harry Styles",1753400,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,911,Sech,1732532,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
35,"Goosebumps - Remix","Travis Scott",1703629,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
36,Dynamite,BTS,1700073,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
37,"Calling My Phone","Lil Tjay",1686767,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
38,"EL MAKINON","KAROL G",1641448,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
39,"Someone You Loved","Lewis Capaldi",1636760,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,"Don't Start Now","Dua Lipa",1574172,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"LA NOCHE DE ANOCHE","Bad Bunny",1568700,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
42,BED,"Joel Corry",1499895,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
43,"We're Good","Dua Lipa",1487055,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
44,"Talking to the Moon","Bruno Mars",1469741,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
45,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1468053,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
46,positions,"Ariana Grande",1450479,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
47,"Head & Heart (feat. MNEK)","Joel Corry",1441356,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
